No,Penggunaan Lahan,Kerapatan Sungai,Jenis Tanah,Jarak dari Sungai,Curah Hujan,Kemiringa Lereng,Kelas Banjir,Kapanewon/Kemantren
0,Badan Air,"<0,62 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Girisubo
1,Badan Air,"<0,62 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Girisubo
2,Badan Air,"<0,62 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Girisubo
3,Badan Air,"<0,62 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Girisubo
4,Badan Air,"<0,62 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Girisubo
5,Badan Air,"<0,62 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Tinggi,Girisubo
6,Badan Air,"<0,62 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Girisubo
7,Badan Air,"<0,62 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Purwosari
8,Badan Air,"<0,62 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
9,Badan Air,"<0,62 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Girisubo
10,Badan Air,"<0,62 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Kretek
11,Badan Air,"<0,62 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Kretek
12,Badan Air,"<0,62 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Girisubo
13,Badan Air,"<0,62 km/km2",Litosol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Sedang,Girisubo
14,Badan Air,"<0,62 km/km2",Fluvisol,>500 m (Sangat Jauh),1000 - 2000 mm/th (Sedang),8-15% (Landai),Sedang,Temon
15,Badan Air,"<0,62 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Galur
16,Badan Air,"<0,62 km/km2",Fluvisol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Kretek
17,Badan Air,"<0,62 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),0-8% (Datar),Tinggi,Temon
18,Badan Air,"<0,62 km/km2",Fluvisol,0 - 50 m (Sangat Dekat),1000 - 2000 mm/th (Sedang),8-15% (Landai),Tinggi,Temon
19,Badan Air,"<0,62 km/km2",Fluvisol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),0-8% (Datar),Tinggi,Temon
20,Badan Air,"<0,62 km/km2",Fluvisol,50 - 100 m (Dekat),1000 - 2000 mm/th (Sedang),8-15% (Landai),Tinggi,Temon
21,Badan Air,"<0,62 km/km2",Fluvisol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),0-8% (Datar),Tinggi,Temon
22,Badan Air,"<0,62 km/km2",Fluvisol,100 - 250 m (Sedang),1000 - 2000 mm/th (Sedang),8-15% (Landai),Tinggi,Temon
23,Badan Air,"<0,62 km/km2",Fluvisol,250 - 500 m (Jauh),1000 - 2000 mm/th (Sedang),0-8% (Datar),Tinggi,Temon
24,Badan Air,"<0,62 km/km2",Vertisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Tinggi,Semanu
25,Badan Air,"<0,62 km/km2",Vertisol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Tinggi,Semanu
26,Badan Air,"<0,62 km/km2",Vertisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Tinggi,Semanu
27,Badan Air,"<0,62 km/km2",Vertisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Tinggi,Semanu
28,Badan Air,"<0,62 km/km2",Vertisol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Tinggi,Semanu
29,Badan Air,"<0,62 km/km2",Vertisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Tinggi,Semanu
30,Badan Air,"<0,62 km/km2",Vertisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Semanu
31,Badan Air,"<0,62 km/km2",Vertisol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Semanu
32,Badan Air,"<0,62 km/km2",Vertisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Semanu
33,Badan Air,"<0,62 km/km2",Vertisol,250 - 500 m (Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Semanu
34,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Sedang,Purwosari
35,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Purwosari
36,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Kretek
37,Badan Air,"0,62 - 1.44 km/km2",Litosol,>500 m (Sangat Jauh),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Sedang,Kretek
38,Badan Air,"0,62 - 1.44 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),0-8% (Datar),Tinggi,Dlingo
39,Badan Air,"0,62 - 1.44 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Tinggi,Dlingo
40,Badan Air,"0,62 - 1.44 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Tinggi,Dlingo
41,Badan Air,"0,62 - 1.44 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),25-40% (Curam),Tinggi,Dlingo
42,Badan Air,"0,62 - 1.44 km/km2",Litosol,0 - 50 m (Sangat Dekat),500 - 1000 mm/th (Agak Rendah),>40% (Sangat Curam),Tinggi,Dlingo
43,Badan Air,"0,62 - 1.44 km/km2",Litosol,50 - 100 m (Dekat),500 - 1000 mm/th (Agak Rendah),15-25% (Agak Curam),Sedang,Purwosari
44,Badan Air,"0,62 - 1.44 km/km2",Litosol,100 - 250 m (Sedang),500 - 1000 mm/th (Agak Rendah),8-15% (Landai),Sedang,Purwosari
